Come in!	Qǐng jìn!	请进！
How do you say this sentence in Chinese?	Zhè jù huà yòng zhōngwén zěnme shuō?	这句话用中文怎么说？
How is it that he didn't come to work today?	Tā jīntiān zěnme méi lái bàngōng?	他今天怎么没来办公？
How is it that they all went out?	Tāmen zěnme dōu chūqu le?	他们怎么都出去了？
You must have worked here for many years.	Nǐ zài zhèr gōngzuò le hěn duō nián le ba?	你在这儿工作了很多年了吧？
You must understand a lot about the situation in China.	Nǐ duì zhōngguó de qíngkuàng yídìng hěn liǎojǐe ba?	你对中国的情况一定很了解吧？
I didn't expect to run into you here.	Wǒ méi xiǎngdaò zài zhèr yùjian ni le.	我没想到在这儿遇见你了。
When did you come?	Nǐ shénme shíhou lái de?	你什么时候来的？
I got to Shanghai on 9/25.	Wǒ shi jǐuyuè èrshiwǔ hào dào de shànghǎi.	我是九月二十五号到的上海。
I take it you've already graduated.	Nǐ yǐjīng bìyè le ba?	你已经毕业了吧？
I'm the interpreter.	Wǒ shi fānyì.	我是翻译。
I started working in the fall.	Wǒ shi qiūtiān cānjiā de gōngzuò.	我是秋天参加的工作。
I came with a science delegation.	Wǒ shi gēn kēxué dàibiǎotuán yìqǐ lái de.	我是跟科学代表团一起来的。
Did you come by plane?	Nǐ shi zuò fēijī lái de ma?	你是坐飞机来的吗？
We came to attend the PRC's National Day exercises.	Wǒmen shi lái cānjiā zhōnghuá rénmín gònghéguó guóqìng huódòng de.	我们是来参加中华人民共和国国庆活动的。
I'm so happy!	Wǒ tài gāoxìng le!	我太高兴了！
You're probably busy?	Nǐ máng ba?	你忙吧？
When I go I'll give you a call first.	Wǒ qù de shíhou xiān gěi nǐ dǎ ge diànhuà.	我去的时候先给你打个电话。
Great!	Hǎojíle!	好极了！
three cars, four trains	sān liàng qìchē, sì liè huǒchē	三辆汽车，四列火车
five planes	wǔ jià fēijī	五架飞机
How should this question be answered?	Zhè ge wèntí yīnggāi zěnme húidá?	这个问题应该怎么回答？
How's the writing in this book?	Zhè běn shū xǐe de zěnme yàng?	这本书写得怎么样？
How can it be that he isn't coming back even now?	Tā zěnme xiànzài hái bù huílái?	他怎么现在还不回来？
He just came to the school on Sunday.	Tā shi xīngqīrì gāng lái xuéxiaò de.	他是星期日刚来学校的。
I'm just back from seeing my friend off.	Wǒ gāng qù sòng péngyou húilái.	我刚去送朋友回来。
Just as soon as they visited the factory they went to see the movie.	Tāmen gāng cānguānle gōngchǎng, yòu qù kàn diànyǐng le.	他们刚参观了工厂，又去看电影了。
I was originally thinking to go to the movie, but then he came to visit me.	Wǒ běnlái xiǎng qù kàn diànyǐng, hòulái tā lái zhǎo wǒ.	我本来想去看电影，后来他来找我。
We two didn't know each other before; it was only coming to this school that we met.	Wǒmen liǎngge rén běnlài bú rènshi, lái zhège xuéxiaò yǐhòu cái rènshi de.	我们两个人本来不认识，来这个学校以后才认识的。
We used to have two classes in the afternoon, now we have just one.	Xìawǔ běnlái yǒu liǎngjié kè, xiànzài zhǐ yǒu yì jié kè le.	下午本来有两节课，现在只有一节课了。
I was thinking to go to the park, but then I thought I'd better read, so finally I just read.	Wǒ xiǎng qù gōngyuán, yòu xiǎng yīnggāi kànshū, hòulái jiù kànle shū.	我想去公园，又想应该看书，后来就看了书。
I'm thinking to go give him the book, but I'm afraid he's not home.	Wǒ xiǎng gěi tā sòng shū qù, yòu pà tā bú zài jiā.	我想给他送书去，又怕他不在家。
Walk south from here and you'll get to that factory.	Cóng zhèr xiàng nán zǒu, jiù dào nàge gōngchǎng le.	从这儿向南走，就到那个工厂了。
We should learn from him.	Wǒmen yīnggāi xiàng tā xuéxí.	我们应该向他学习。
I introduced my friend to a lot of well-known places.	Wǒ xiàng wǒ péngyou jièshàole hěn duō yǒumíng de dìfang.	我向我朋友介绍了很多有名的地方。
I went to the station to meet a friend.	Wǒ dào chēzhàn qù jiē yíge péngyou.	我到车站去接一个朋友。
He just came to Peking from our country.	Tā gāng cóng wǒmen guójiā lái běijīng.	他刚从我们国家来北京。
Originally I thought I'd ride my bike to the station.	Wǒ běnlái xiǎng qí zìxíngchē qù chēzhàn.	我本来想骑自行车去车站。
I decided to go by car.	Wǒ juédìng zuò qìchē qù.	我决定坐汽车去。
I don't speak Chinese, didn't you know?	Wǒ bú huì zhōngwén, nǐ búshì zhīdao ma?	我不会中文，你不是知道吗？
I laughed/smiled.	Wǒ xiàole.	我笑了。
I'm already used to it.	Wǒ yǐjīng xíguàn le.	我已经习惯了。
We passed through TianAnMen square.	Wǒmen jīngguò le tiānānmén guǎngchǎng.	我们经过了天安门广场。
That's the people's heroes commemorative monument.	Nà shi rénmín yīngxióng jìniànbēi.	那是人民英雄纪念碑。
When you have time, come here and have a look.	Nǐ yǒu shíjiān, lái zhèr kànkan ba.	你有时间，来这儿看看吧。
I said, furthermore: "You ought to study more."	Wǒ bìngqiě shuō: Nǐ yīnggāi duō xuéxí.	我并且说：你应该多学习。
Just as soon as he went out it started raining.	Tā gāng chūqù, jiù xià yǔ le.	他刚出去，就下雨了。
You've learned how to use a dictionary.	Nǐ xuéhuìle chá zìdiǎn.	你学会了查字典。
He just went out; why did he come back?	Tā gāng chūqu, wèishénme yòu huíláile?	他刚出去，为什么又回来了？
I'm thinking to go out, on the other hand I'm afraid it'll rain.	Wǒ xiǎng chūqù, yòu pà xiàyǔ.	我想出去，又怕下雨。
I'm in class. (4 ways)	Wǒ zhèngzài shàngkè | Wǒ zhèng shàngkè | Wǒ zài shàngkè | Wǒ shàngkè ne.	我正在上课｜我正上课｜我在上课｜我上课呢。
I'm right in the middle of translating a sentence.	Wǒ zhèngzài fānyi jùzi ne.	我正在翻译句子呢。
He's exercising (at the moment).	Tā zài duànliàn shēntǐ.	他在锻炼身体。
When I went in she was telling the children a story.	Wǒ jìnqu de shíhou, tā zhèng gěi háizimen jiǎng gùshi ne.	我进去的时候，她正给孩子们讲故事呢。
I was looking for him and in he came.	Wǒ zhèng zhǎo tā, tā jìnlai le.	我正找他，他进来了。
Are you doing the exercises?  No, I'm reading the text.	Nǐ zài zuò liànxí ma?  Méiyǒu, wǒ niàn kèwén ne.	你在作练习吗？没有，我念课文呢。
I'm not writing characters, I'm reading a book.	Wǒ méi xiě hànzì, wǒ zhèng kàn shū ne.	我没写汉字，我正看书呢。
It's about to snow. (4 ways)	Yào xià xuě le | Jiùyaò xià xuě le | Kuài xià xuě le | Kuàiyaò xià xuě le.	要下雪了｜就要下雪了｜快下雪了｜快要下雪了。
He's going to get going right after 3.	Tā sāndiǎnzhōng jiùyào zǒu le.	他三点钟就要走了。
Are you just about done studying this textbook.	Zhèběn kèběn nǐ kuài xuéwán le ma?	这本课本你快学完了吗？
National Day is coming up.	Guóqìngjié kuàiyào dào le.	国庆节快要到了。
One day I went to visit him there.	Yǒu yì tiān, wǒ qù tā nàr.	有一天，我去他那儿。
It looks good, how's the sound?	Yàngzi hěn hǎokàn, shēngyin zěnme yàng?	样子很好看，声音怎么样？
Listen, now they're broadcasting Chinese music.	Nǐ tīng, xiànzài zhèng guǎngbō zhōngguó yīnyuè ne.	你听，现在正广播中国音乐呢。
He turned on the radio.	Tā kāikai shōuyīnjī.	他开开收音机。
Beijing is far.	Běijīng hěn yuǎn.	北京很远。
In a minute they're going to broadcast the news.	Yì huǐr jiù yào guǎngbō xīnwén le.	一会儿就要广播新闻了。
Can you understand the news program?	Xīnwén jiémù, nǐ néng tīngdǒng ma?	新闻节目，你能听懂吗？
I haven't got a lot of vocabulary yet.	Wǒ zhǎngwò de cí hái bù duō.	我掌握的词还不多。
I asked him what other programs are broadcast.	Wǒ wèn tā, hái guǎngbō yìxiē shénme jiémù.	我问他，还广播一些什么节目。
They also broadcast some simple short stories.	Hái guǎngbō yìxiē jiǎndān de xiǎo gùshi.	还广播一些简单的小故事。
They're broadcast for kids.	Shi duì háizimen guǎngbō de.	是对孩子们广播的。
The content is simple (unsophisticated).	Nèiróng hěn qiǎn.	内容很浅。
The sentences are not too complicated.	Jùzi bú tài fùzá.	句子不太复杂。
I can mostly understand (what I hear). 	Wǒ néng tīngdǒng dàgài de yìsi.	我能听懂大概的意思。
Just then we heard the news program start.	Zhè shíhou wǒmen tīngjian xīnwén jiémù kāishǐ le.	这时候我们听见新闻节目开始了。
He turns off the radio.	Tā guānshang shōuyīnjī.	他关上收音机。
He explained to me the advantages of listening to broadcasts for studying Chinese.	Tā gěi wǒ jiǎnglejiang tīng guǎngbō duì xué zhōngwén de hǎochu.	他给我讲了讲听广播对学中文的好处。
I feel very happy.	Wǒ juéde hěn gāoxìng.	我觉得很高兴。
It's raining.	Xià yǔ ne.	下雨呢。
I'm not reading a magazine, I'm reading a newspaper.	Wǒ méi kàn zázhì, wǒ kàn bào ne.	我没看杂志，我看报呢。
Do you know where he is?	Nǐ zhīdào bù zhīdào tā zài nǎr?	你知道不知道他在哪儿？
I hope you'll go with me.	Wǒ xīwàng nǐ gēn wǒ yìqǐ qù.	我希望你跟我一起去。
Class is about to start.	Yào shàngkè le.	要上课了。
He's been to China before.	Tā yǐqián qùguo zhōngguó.	他以前去过中国。
He has translated a book.	Tā fānyiguo yìběn shū.	他翻译过一本书。
I haven't used it yet.	Wǒ hái méi yòngguo.	我还没用过。
He's only studied Russian.	Tā zhǐ xuéguo éwén.	他只学过俄文。
He hasn't been to China before.	Yǐqián tā méi qùguo zhōngguó.	以前他没去过中国。
He came to see you two times. (2 ways)	Tā lái zhǎoguo ni liǎng huí | Tā lái zhǎoguo ni liǎngcì.	他来找过你两回｜他来找过你两次。
I first reviewed the text twice.	Wǒ xiān fùxíle liǎngbiàn kèwén.	我先复习了两遍课文。
I already got the last letter you wrote.	Nǐ shàngcì xiě de xìn, wǒ yǐjīng shōudào le.	你上次写的信，我已经收到了。
He gave us a general idea of the content of this book.	Tā gěi wǒmen jièshàole yíxiàr zhè běn shū de nèiróng.	他给我们介绍了一下儿这本书的内容。
We want to discuss this question carefully.	Zhège wèntí wǒmen yào hǎohāor tǎolùn yíxiàr.	这个问题我们要好好儿讨论一下儿。
seven letters	qī fēng xìn	七封信
one bicycle	yí liàng zìxíngchē	一辆自行车
Please forgive me.	Qǐng nǐ yuánliàng.	请你原谅。
I didn't immediately write back.	Wǒ méiyǒu lìkè húi xìn.	我没有立刻回信。
I learn that China's development again has many new achievements.	Wǒ zhīdào zhōngguó jiànshèshang yòu yǒu hěn duō xīn chéngjiù.	我知道中国建设上又有很多新成就。
In your letter you say that China's people highly prize the friendship between the people of our two countries.	Nǐ xìnli shuō, zhōngguó rénmín fēicháng zhēnshì wǒmen liǎngguó rénmín de yǒuyì.	你信里说，中国人民非常珍视我们两国人民的友谊。
We want to learn from the people of every country.	Wǒmen yào xiàng gèguó rénmín xuéxí.	我们要向各国人民学习。
This moves me.	Zhè shǐ wǒ hěn gǎndòng.	这使我很感动。
I believe our friendship can unceasingly develop.	Wǒ xiāngxìn wǒmen de yǒuyì huì búduàn fāzhǎn.	我相信我们的友谊会不断发展。
I am determined to overcome difficulties.	Wǒ yǒu juéxīn kèfú kùnnan.	我有决心克服困难。
With his help, I write a letter.	Zài tā de bāngzhu xià, wǒ xiě yì fēng xìn.	在他的帮助下，我写一封信。
This is a big help in raising the level of my Chinese.	Zhè duì wǒ tígāo zhōngwén shǔipíng bāngzhu hěn dà.	这对我提高中文水平帮助很大。
And furthermore, say hi to them.	Bìngqiě wèn tāmen hǎo.	并且问他们好。
I hope you'll write often in the future.	Wǒ xīwàng nǐ yǐhòu chángchang lái xìn.	我希望你以后常常来信。
I wish you good health.	Zhù jiànkāng.	祝健康。
I've been very busy studying recently.	Wǒ zuìjìn xuéxí hěn máng.	我最近学习很忙。
He came yesterday.  He didn't (ever) come before.	Tā zuótiān lái le.  Yǐqián méi láiguo.	他昨天来了。以前没来过。
He didn't go.  I've never gone.	Tā méi qù.  Wǒ méi qùguo.	他没去。我没去过。
He's come twice.	Tā láiguo liǎnghuí.	他来过两回。
I want to go see it again. (once more)	Wǒ yào zài qù kàn yícì.	我要再去看一次。
It rained twice this week.	Zhège xīngqī xiàle liǎngcì yǔ.	这个星期下了两次雨。
I wrote the characters we studied today three times.	Jīntiān xué de hànzì, wǒ xiě le sān biàn.	今天学的汉字，我写了三遍。
(We'll) talk about this question again next time.	Zhège wèntí xiàhuí zài tán.	这个问题下回再谈。
I'm going to review a bit more.	Wǒ yào duō fùxí yíxiàr.	我要多复习一下儿。
I've been very busy studying recently.	Wǒ zuìjìn xuéxí hěn máng.	我最近学习很忙。
He came yesterday.  He didn't (ever) come before.	Tā zuótiān lái le.  Yǐqián méi láiguo.	他昨天来了。以前没来过。
He didn't go.  I've never gone.	Tā méi qù.  Wǒ méi qùguo.	他没去。我没去过。
He's come twice.	Tā láiguo liǎnghuí.	他来过两回。
I want to go see it again. (once more)	Wǒ yào zài qù kàn yícì.	我要再去看一次。
It rained twice this week.	Zhège xīngqī xiàle liǎngcì yǔ.	这个星期下了两次雨。
I wrote the characters we studied today three times.	Jīntiān xué de hànzì, wǒ xiě le sān biàn.	今天学的汉字，我写了三遍。
(We'll) talk about this question again next time.	Zhège wèntí xiàhuí zài tán.	这个问题下回再谈。
I'm going to review a bit more.	Wǒ yào duō fùxí yíxiàr.	我要多复习一下儿。
He's not writing a letter.	Tā méiyǒu xiě xìn.	他没有写信。
He called you three times.	Tā gěi nǐ dǎguo sān huí diànhuà.	他给你打过三回电话。
It didn't rain a lot this summer.	Jīnnián xiàtiān méi xiàguo hěn dà de yǔ.	今年夏天没下过很大的雨。
She rides her bike to the post office.	Tā shi qí zìxíngchē qù de yóujú.	她是骑自行车去的邮局。
We're visiting China.	Wǒmen zài zhōngguó fǎngwèn.	我们在中国访问。
There's a commune I once visited five years ago.	Yǒu yìge gōngshè, wǒ wǔnián qián cānguānguo yícì.	有一个公社，我五年前参观过一次。
The standard of living of commune members had risen (in some respects).	Shèyuán shēnghuó yǒule tígāo.	社员生活有了提高。
I saw that their production had some new developments.	Wǒ kàndào tāmen de shēngchǎn yǒule xīn de fāzhǎn.	我看到他们的生产有了新的发展。
This factory can still only repair cars.	Zhège gōngchǎng hái zhǐ néng xiūlǐ qìchē.	这个工厂还只能修理汽车。
Now (the factory) can already manufacture cars.	Xiànzài yǐjīng néng zhìzào qìchē le.	现在已经能制造汽车了。
Although we've had some progress, production is still not high.	Wǒmen suīrán yǒule yìxiē jìnbù, dànshi shēngchǎn shuǐpíng hái bù gāo.	我们虽然有了一些进步，但是生产水平还不高。
We must study from people of all countries.	Wǒmen bìxū xiàng gèguó rénmín xuéxí.	我们必须向各国人民学习。
One day we met three children in the street.	Yǒu yì tiān, wǒmen zài jiēshang yùjianle sānge háizi.	有一天，我们在街上遇见了三个孩子。
I found out they were all very young.	Wǒ zhīdào tāmen dōu hěn xiǎo.	我知道他们都很小。
One (kid) was four years old.	Yíge sì suì.	一个四岁。
I asked him to sing a song.	Wǒ qǐng tā chànggē.	我请他唱歌。
We encountered this kind of situation many times.	Zhè yang de qíngkuàng, wǒmen yùjianguo hěn duō cì.	这样的情况，我们遇见过很多次。
During this visit, we found out a lot about China's situation.	Wǒmen zài zhège fǎngwèn zhōng, liǎojǐe le bùshǎo zhōngguó de qíngkuàng.	我们在这个访问中，了解不少中国的情况。
Before going to China I couldn't speak Chinese.	Qù zhōngguó yǐqián wǒ bú huì zhōngwén.	去中国以前我不会中文。
After class I review.	Xiàkè yǐhòu wǒ fùxí.	下课以后我复习。
two dollars (2 ways)	liǎngkuàiqián | liǎng yuán	两块钱｜两元
50 cents (2 ways)	wǔ máo qián | wǔ jiǎo	五毛钱｜五角
8 cents	bā fēn qián	八分钱
$1.45	yíkuài sìmáo wǔ	一块四毛五
$1.05	yíkuài líng wǔfēn	一块零五分
three or four magazines	sānsìběn zázhì	三四本杂志
20 or 30 students	èrsānshí ge xuéshēng	二三十个学生
20-odd books	èrshí duō běn shū	二十多本书
two yuan and change	liǎngkuài duō qián	两块多钱
The salesman cordially greeted us.	Shòuhuòyuán rèqíng de gēn wǒmen dǎ zhāohùle.	售货员热情地跟我们打招呼了。
When we went in, we saw that there were a lot of kinds of dictionaries.	Jìnle mén, wǒmen kàndào zìdiǎn yǒu hěn duō zhǒng.	进了门，我们看到字典有很多种。
How much is each dictionary?	Zìdiǎn duōshao qián yìběn?	字典多少钱一本？
Which kind is suitable?	Nǎ zhǒng héshì ne?	哪种合适呢？
I've heard that one's not bad.  (dictionary)	Wǒ tīngshuō nàběn bú cuò.	我听说那本不错。
I want a map of the world.	Wǒ yào yìzhāng shìjiè dìtú.	我要一张世界地图。
Vietnam is in Indochina.	Yuènán zài yìndùzhīnà.	越南在印度支那。
Come have a look over here.	Qǐng dào zhèbian lái kàn.	请到这边来看。
Please figure the total (bill).	Qǐng nǐ suànsuan duōshao qián.	请你算算多少钱。
Pay over there.	Nǐ dào nàbian jiāoqián ba.	你到那边交钱吧。
At the post office he subscribed for two copies of the daily paper.	Tā zài yóujú dìngle liǎngfèn rìbào.	他在邮局订了两份日报。
I'd also like to buy a few stamps.	Wǒ hái xiǎng mǎi jǐzhāng yóupiào.	我还想买几张邮票。
I want to buy four 22-cent ones (stamps).	Wǒ yào mǎi sìzhāng liǎngmáoèr de.	我要买四张两毛二的。
He gave over the stamps and change.	Tā náchū yóupiào hé língqián.	他拿出邮票和零钱。
Here's your 12 cents change.	Zhǎo nǐ yìmáoèr.	找你一毛二。
Here are the stamps.  (clerk says...)	Zhè shi yóupiào.	这是邮票。
No need to give me the change.	Bú yòng zhǎoqián le.	不用找钱了。
Give me another three (books).	Zài gěi wǒ sānběn ba.	再给我三本吧。
Now that I have a dictionary, reading will be much more convenient.	Yǒule zìdiǎn, kànshū jiù fāngbiàn de duō le.	有了字典，看书就方便得多了。
He's sitting in front of me.	Tā zài wǒ qiánbian zuòzhe.	他在我前边坐着。
He's holding a book.	Tā názhe yìběn shū.	他拿着一本书。
His name is written on that dictionary.	Nàběn zìdiǎnshang xiězhe tā de míngzi.	那本字典上写着他的名字。
He's telling a story and I'm listening.	Tā zhèngzài jiǎng gùshi, wǒ tīngzhe.	他正在讲故事，我听着。
The windows are open, the door isn't.	Chuānghu kāizhe, mén méi kāizhe.	窗户开着，门没开着。
He's not holding anything in his hands.	Tā shǒuli méi názhe dōngxi.	他手里没拿着东西。
There's no name written on this notebook.	Zhège běnzi méi xiězhe míngzi.	这个本子没写着名字。
Smiling he greeted us.	Tā xiàozhe gēn wǒmen dǎ zhāohu.	他笑着跟我们打招呼。
They're walking (i.e. not driving).	Tāmen shi zǒuzhe qùde.	他们是走着去的。
The teacher asked us to tell stories while looking at pictures.	Lǎoshī ràng wǒmen kànzhe huàr jiǎng gùshi.	老师让我们看着画儿讲故事。
There are 40 or 50 books (set) on the shelf.	Shūjiàshang fàngzhe sìwǔshiběn shū.	书架上放着四五十本书。
There are 500 odd people sitting in the auditorium.	Lǐtángli zuòzhe wǔbǎiduō rén.	礼堂坐着五百多人。
Three of our classmates have left.	Wǒmen bān zǒule sānge tóngxué.	我们班走了三个同学。
I haven't finished writing it, I'll go on with it this afternoon.	Wǒ hái méi xiěwán, xiàwǔ jiēzhe xiě.	我还没写完，下午接着写。
He finished speaking and we proceeded to discuss it for a while.	Tā jiǎngwánle, jiēzhe wǒmen tǎolùnle yìhuǐr.	他讲完了，接着我们讨论了一会儿。
I want a thicker one.	Wǒ yào yíge hòu yídiǎnr de.	我要一个厚一点儿的。
I have a friend who got sick and is in the hospital.	Wǒ yǒu yíge péngyou bìngle, zhù zài yīyuànli.	我有一个朋友病了，住在医院里。
When I found his ward I knocked on the door and went in.	Zhǎodàole tāde bìngfáng, jiù qiāo mén jìnqu le.	找到了他的病房，就敲门进去了。
Don't get up.	Bú yào qǐlai le.	不要起来了。
He was lying down reading a book.	Tā zhèng tǎngzhe kàn shū ne.	他正躺着看书呢。
He made to get up.	Tā xiǎng yào qǐlai.	他想要起来。
It was very clean in the room.	Wūzili hěn gānjing.	屋子里很干净。
A table was placed next to the bed.	Chuáng pángbiān fàngzhe yìzhāng zhuōzi.	床旁边放着一张桌子。
The windows were all open.	Chuānghu dōu kāizhe.	窗户都开着。
The air was good.	Kōngqì hěn hǎo.	空气很好。
How's your health?	Nǐ shēntǐ qíngkuàng zěnme yàng?	你身体情况怎么样？
I take medicine and get injections every day.	Wǒ měitiān chī yào, dǎ zhēn.	我每天吃药，打针。
Are you used to life in the hospital?	Nǐ zài yīyuànli shēnghuó xíguàn bu xíguàn?	你在医院里生活习惯不习惯？
He's very concerned about me (i.e. caring).	Tā duì wǒ hěn guānxīn.	他对我很关心。
He makes me Chinese food.	Tā gěi wǒ zuò zhōngguó fàncài.	他给我做中国饭菜。
The doctor comes to attend him.	Dàifu lái gěi tā kànbìng.	大夫来给他看病。
I greatly appreciate your attention.	Wǒ fēicháng gǎnxiè nǐ duì wǒ de guānxīn.	我非常感谢你对我的关心。
I hope our two countries' peoples will forever mutally support each other.	Xīwàng wǒmen liǎngguó rénmín yǒngyuǎn hùxiāng zhīchí.	希望我们两国人民永远互相支持。
We chatted till after four.	Wǒmen tándào sìdiǎnduō zhōng.	我们谈到四点多钟。
I hope you get out quick (from the hospital).	Xīwàng nǐ zǎo diǎnr chūyuàn.	希望你早点儿出院。
No need to come see me again.	Búyòng zài lái kàn wǒ le.	不用再来看我了。
The windows are all (currently) open.	Chuānghu dōu kāizhe.	窗户都开着。
He's lying in bed (both progressive and continuous).	Tā zhèngzài chuángshang tǎngzhe ne.	他正在床上躺着呢。
We were right in the middle of talking when we heard someone outside listening.	Wǒmen zhèng shuōzhe huà, tīngjian wàibian yǒu rén tīng wǒmen.	我们正说着话，听见外边有人听我们。
He went out riding a bike.	Tā qízhe zìxíngchē chūqule.	他骑着自行车出去了。
The content of this text continues from the last one.	Zhè kè kèwén de nèiróng shi jiēzhe shàng yíkè de.	这课课文的内容是接着上一课的。
Tomorrow we'll continue along (explaining the lesson).	Míngtiān zài jiēzhe jiǎng.	明天再接着讲。
First the wind blew and then right away it started to rain.	Xiān guāfēng, jiēzhe jiù xià yǔ le.	先刮风，接着就下雨了。
Is there a map that's a bit bigger?	Dìtú yǒu dà diǎnr de ma?	地图有大点儿的吗？
Hope you get better soon.	Xīwàng nǐ kuài diǎnr hǎo.	希望你快点儿好。
He was going to China, and a lot of friends went to the station to see him off.	Tā yào qù zhōngguó le, hǎo xiē péngyou dào chēzhàn qù sòng tā.	他要去中国了，好些朋友到车站去送他。
He brought quite a few books.	Tā dàilái le hǎo duō shū.	他带来了好多书。
It's been a long time (since we met).	Wǒmen hǎo cháng shíjiān méi jiàn le.	我们好长时间没见了。
Let's go together to work out (you guys and me).	Zánmen yìqǐ qù duànliàn ba.	咱们一起去锻炼吧。
It's been quite a few days since we worked out.	Hǎo jǐ tiān méi duànliàn shēntǐ le.	好几天没锻炼身体了。
He can even read Chinese newspapers now.	Tā xiànzài lián zhōngwén bào dōu néng kàn le.	他现在连中文报都能看了。
Even I understood that story.	Nà ge gùshi lián wǒ dōu tīngdǒng le.	那个故事连我都听懂了。
He was in China for a short time and didn't even get to Shanghai.	Tā zài zhōngguó shíjiān hěn duǎn, lián shànghǎi yě méi qù.	他在中国时间很短，连上海也没去。
He translated it without even using a dictionary.	Tā lián zìdiǎn yě méi chá jiù fānyihǎo le.	他连字典也没查就翻译好了。
He didn't even see it, how could he know if it's good?	Tā lián kàn yě méi kàn, zěnme zhīdao hǎo bu hǎo ne?	他连看也没看，怎么知道好不好呢？
It's just seven o'clock now.	Xiànzài gāng qīdiǎn zhōng.	现在刚七点钟。
The post office isn't open yet.	Yóujú hái méi kāi mén ne.	邮局还没开门呢。
They're not back yet.	Tāmen hái méi huílai ne.	他们还没回来呢。
It's not too cold yet.	Hái bú tài lěng ne.	还不太冷呢。
It's okay not wear a coat.	Kěyi bù chuān dàyī.	可以不穿大衣。
They still can't even speak simple Chinese.	Lián jiǎndān de huà hái bú huì shuō ne.	连简单的话还不会说呢。
It doesn't matter, thin ones are okay.	Méi guānxi, báo de yě kěyǐ.	没关系，薄的也可以。
It's okay if we don't go this time.	Zhè cì bú qù méi guānxi.	这次不去没关系。
There'll be another chance (e.g. to go) later.	Yǐhòu hái huì yǒu jīhuì.	以后还会有机会。
A north wind was blowing and Lenin was still wearing an old coat.	Guāzhe běifēng, lièníng hái chuānzhe yíjiàn jiù dàyī.	刮着北风，列宁还穿着一件旧大衣。
He'd worn this coat for a good many years.	Zhè jiàn dàyī chuānle hǎo xiē nián le.	这件大衣穿了好些年了。
It was already patched in a good many places.	Hǎo jǐge dìfang yǐjīng bǔguo le.	好几个地方已经补过了。
They were afraid he'd freeze.	Tāmen pà tā dònghuài.	他们怕他冻坏。
They advised him to exchange (his coat) for a new one.	Tāmen quàn tā huàn yíjiàn xīn de.	他们劝他换一件新的。
Isn't everyone just as cold (as I am)?	Dàjiā búshì yíyàng lěng ma?	大家不是一样冷吗？
The revolution succeeded.	Gémìng shènglì le.	革命胜利了。
He's joking.	Tā kāi wánxiào.	他开玩笑。
His coat could be put in a museum.	Tā de dàyī kěyi jìn bówùguǎn le.	他的大衣可以进博物馆了。
Please immediately change to a new coat.	Qǐng mǎshàng huàn jiàn xīn dàyī ba.	情马上换件新大衣吧。
Otherwise, you might freeze.	Bùrán, nǐ huì dònghuài de.	不然你会冻坏的。
Holding him tightly by the hand, he said thanks.	Jǐn wòzhe tā de shǒu tā shuō xièxie.	紧喔着他的手他说谢谢。
Now that the revolution has succeeded, you think we (you and I) should dress a little better.	Nǐ yǐwéi gémìng shènglìle, zánmen jiù yīnggāi chuān de hǎo yìdiǎnr.	你以为革命胜利了，咱们就应该穿得好一点儿。
Money must be used for building (lit. on the side of building).	Qián yào yòng zài jiànshè fāngmiàn.	钱要用在建设方面。
What does it matter if we wear clothes that are a little old.	Yīfu chuān de jiù yìdiǎnr, yòu yǒu shénme guānxi ne?	衣服穿得旧一点儿，又有什么关系呢？
It's killer hot today, there's not even a bit of wind.	Jīntiān rè jíle, lián diǎnr fēng yě méiyǒu.	今天热极了，连点儿风也没有。
He's even learned it by heart, surely he reads it fluently.	Tā lián bèi dōu huì bèi le, yídìng niànde hěn liúlì.	他连背都会背了，一定念得很流利。
It's not ready/done yet. (food cooking)	Hái bù shú ne.	还不熟呢。
I haven't yet read today's paper.	Jīntiān de bào wǒ hái méi kàn ne.	今天的报我还没看呢。
I haven't even read the paper yet.	Wǒ lián bào hái méi kàn ne.	我连报还没看呢。
It doesn't matter if you don't give it back.	Bù huán méi guānxi.	不还没关系。
It's so far, how can he get back before 5?	Zhème yuǎn, wǔdiǎn yǐqián yòu zěnme néng huílái?	这么远，五点以前又怎么能回来？
The text isn't long, how many vocab items can it have!	Kèwén bù cháng, yòu néng yǒu duōshǎo shēngcí!	课文不长，又能有多少生词！
He's explained the text, but not yet the grammar.	Kèwén jiǎngwán le, yǔfǎ méi jiǎng ne.	课文讲完了，语法还没讲呢。
The map we already bought.	Dìtú yǐjīng mǎi le.	地图已经买了。
We've gotten the change too.	Zhǎo yě zhǎole.	找也找了。
Let's go back.	Wǒmen huíqu ba.	我们回去吧。
What time does the paper get delivered every day?	Bào měitiān jǐdiǎnzhōng sònglai?	报每天几点钟送来？
Are you coming or him?	Nǐ lái háishi tā lái?	你来，还是他来？
Are you coming or not?	Nǐ lái, háishi bù lái?	你来，还是不来？
Did you use a pen or a pencil?	Nǐ yòng de shi gāngbǐ, háishi qiānbǐ?	你用的是钢笔还是铅笔？
Let's go to the post office first and then go shopping.	Wǒmen xiān qù yóujú zài qù mǎi dōngxi ba.	我们先去邮局再去买东西吧。
You'd better go at 7. (not before)	Nǐ qīdiǎnzhōng zài qù ba.	你七点钟再去吧。
It's too late, better not go till tomorrow.	Tài wǎn le, míngtiān zài qù ba.	太晚了，明天再去吧。
